temps,ACTU,MILIEU,LASER
0.30,26.12,26.30,26.03
0.45,26.12,26.30,26.12
0.60,26.12,26.30,26.12
0.75,26.12,26.30,26.03
0.90,26.12,26.30,26.03
1.05,26.12,26.30,26.03
1.20,26.12,26.30,26.03
1.35,26.03,26.30,26.12
1.50,26.12,26.30,26.03
1.65,26.12,26.30,26.12
1.80,26.03,26.30,26.03
1.95,26.12,26.30,26.12
2.10,26.12,26.30,26.12
2.25,26.03,26.30,26.12
2.40,26.12,26.30,26.12
2.55,26.12,26.30,26.03
2.70,26.12,26.30,26.03
2.85,26.12,26.30,26.03
3.00,26.12,26.30,26.03
3.15,26.03,26.30,26.03
3.30,26.12,26.30,26.03
3.45,26.03,26.30,26.03
3.60,26.12,26.30,26.12
3.75,26.12,26.30,26.03
3.90,26.03,26.30,26.03
4.05,26.12,26.30,26.03
4.20,26.12,26.30,26.03
4.35,26.12,26.30,26.03
4.50,26.12,26.30,26.03
4.65,26.03,26.30,26.03
4.80,26.12,26.30,26.03
4.95,26.03,26.30,26.03
5.10,26.12,26.30,26.03
5.25,26.03,26.30,26.03
5.40,26.12,26.30,26.03
5.55,26.03,26.30,26.03
5.70,26.03,26.30,26.03
5.85,26.03,26.30,26.03
0.30,26.03,26.30,25.94
0.45,26.03,26.30,25.94
0.60,26.12,26.30,25.94
0.75,26.03,26.21,26.03
0.90,26.12,26.30,26.03
1.05,26.03,26.21,25.94
1.20,26.12,26.21,25.94
1.35,26.12,26.21,26.03
1.50,26.03,26.21,26.03
1.65,26.12,26.30,26.03
1.80,26.12,26.21,25.94
1.95,26.12,26.30,26.03
2.10,26.03,26.21,25.94
2.25,26.03,26.21,25.94
2.40,26.12,26.30,25.94
2.55,26.12,26.21,25.94
2.70,26.12,26.30,25.94
2.85,26.12,26.21,25.94
3.00,26.03,26.21,25.94
3.15,26.12,26.21,25.94
3.30,26.03,26.21,25.94
3.45,26.12,26.30,26.03
3.60,26.03,26.21,26.03
3.75,26.12,26.30,25.94
3.90,26.12,26.21,25.94
4.05,26.03,26.21,25.94
4.20,26.03,26.30,25.94
4.35,26.03,26.21,25.94
4.50,26.12,26.30,25.94
4.65,26.03,26.21,25.94
4.80,26.03,26.30,25.94
4.95,26.03,26.21,25.94
5.10,26.03,26.21,25.94
5.25,26.03,26.21,25.94
5.40,26.03,26.21,25.94
5.55,26.03,26.30,25.94
5.70,26.03,26.21,25.94
5.85,26.03,26.21,25.94
6.00,26.12,26.21,25.94
6.15,26.03,26.21,26.03
6.30,26.03,26.21,26.03
6.45,26.03,26.21,25.94
6.60,26.03,26.21,25.94
6.75,26.03,26.21,25.94
6.90,26.12,26.21,25.94
7.05,26.03,26.21,25.94
7.20,26.12,26.21,25.94
7.35,26.03,26.21,25.94
7.50,26.12,26.21,25.94
7.65,26.03,26.21,25.94
7.80,26.03,26.21,26.03
7.95,26.03,26.21,25.94
8.10,26.03,26.21,25.94
8.25,26.03,26.21,25.94
8.40,26.03,26.21,25.94
8.55,26.03,26.21,25.94
8.70,26.03,26.21,25.94
8.85,26.03,26.21,25.94
9.00,26.03,26.21,25.94
9.15,26.03,26.21,25.94
