temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE (0 - 1000)
4.0,26.8,26.757,26.494,26.757,2.402,2.404,2.418,550.0,2.0
6.0,26.952,26.602,26.584,26.744,2.394,2.413,2.414,550.0,2.0
8.0,26.992,26.649,26.562,26.736,2.392,2.41,2.415,550.0,2.0
10.0,27.212,26.515,26.472,26.717,2.38,2.417,2.42,550.0,2.0
12.0,27.231,26.606,26.541,26.707,2.379,2.412,2.416,550.0,2.0
14.0,27.296,26.562,26.429,26.695,2.375,2.415,2.422,490.0,2.0
16.0,27.158,26.271,26.206,26.659,2.383,2.431,2.434,490.0,0.0
18.0,27.071,26.271,26.184,26.627,2.387,2.431,2.435,486.0,0.0
20.0,26.941,26.292,26.253,26.599,2.394,2.429,2.432,486.0,0.0
22.0,26.88,26.292,26.163,26.574,2.398,2.429,2.436,483.0,0.0
24.0,26.681,26.271,26.03,26.55,2.408,2.431,2.444,483.0,0.0
26.0,26.552,26.228,26.12,26.524,2.415,2.433,2.439,479.0,0.0
28.0,26.533,26.228,26.098,26.501,2.416,2.433,2.44,479.0,0.0
30.0,26.357,26.206,26.077,26.478,2.426,2.434,2.441,476.0,0.0
32.0,26.249,26.163,26.055,26.454,2.432,2.436,2.442,476.0,0.0
34.0,26.163,26.141,26.012,26.43,2.436,2.438,2.445,473.0,0.0
36.0,26.077,26.12,26.012,26.406,2.441,2.439,2.445,473.0,0.0
38.0,25.991,26.098,25.991,26.384,2.446,2.44,2.446,469.0,0.0
40.0,26.016,26.034,25.969,26.357,2.444,2.444,2.447,469.0,0.0
42.0,25.84,26.012,26.037,26.332,2.454,2.445,2.443,466.0,0.0
44.0,25.844,25.948,25.926,26.303,2.454,2.448,2.449,466.0,0.0
46.0,25.689,25.926,25.904,26.275,2.462,2.449,2.451,463.0,0.0
48.0,25.603,25.883,25.994,26.246,2.467,2.452,2.446,463.0,0.0
50.0,25.607,25.84,25.883,26.216,2.467,2.454,2.452,459.0,0.0
52.0,25.521,25.797,25.84,26.186,2.471,2.456,2.454,459.0,0.0
54.0,25.367,25.844,25.93,26.162,2.48,2.454,2.449,456.0,0.0
56.0,25.371,25.779,25.84,26.135,2.48,2.457,2.454,456.0,0.0
58.0,25.217,25.736,25.797,26.107,2.488,2.46,2.456,452.0,0.0
60.0,25.242,25.693,25.844,26.078,2.487,2.462,2.454,452.0,0.0
62.0,25.157,25.65,25.822,26.049,2.491,2.464,2.455,449.0,0.0
64.0,24.982,25.586,25.8,26.016,2.501,2.468,2.456,449.0,0.0
66.0,24.918,25.543,25.758,25.983,2.505,2.47,2.459,446.0,0.0
68.0,24.943,25.5,25.714,25.949,2.503,2.473,2.461,446.0,0.0
70.0,24.878,25.478,25.672,25.917,2.507,2.474,2.463,442.0,0.0
72.0,24.793,25.414,25.65,25.882,2.511,2.477,2.464,442.0,0.0
74.0,24.707,25.371,25.607,25.847,2.516,2.48,2.467,439.0,0.0
76.0,24.643,25.396,25.654,25.818,2.52,2.478,2.464,439.0,0.0
78.0,24.558,25.264,25.521,25.78,2.524,2.486,2.471,439.0,0.0
80.0,24.494,25.221,25.478,25.742,2.528,2.488,2.474,436.0,0.0
82.0,24.43,25.178,25.525,25.704,2.531,2.49,2.471,436.0,0.0
84.0,24.455,25.114,25.503,25.664,2.53,2.494,2.472,432.0,0.0
86.0,24.302,25.16,25.439,25.632,2.538,2.491,2.476,432.0,0.0
88.0,24.327,25.05,25.307,25.594,2.537,2.497,2.483,429.0,0.0
90.0,24.153,25.075,25.353,25.561,2.547,2.496,2.481,429.0,0.0
92.0,24.178,25.01,25.31,25.526,2.545,2.499,2.483,429.0,0.0
94.0,24.025,24.968,25.267,25.491,2.554,2.502,2.485,426.0,0.0
96.0,24.05,24.925,25.224,25.455,2.552,2.504,2.488,426.0,0.0
98.0,23.986,24.882,25.114,25.42,2.556,2.506,2.494,422.0,0.0
100.0,23.922,24.861,25.182,25.385,2.559,2.508,2.49,422.0,0.0
102.0,23.88,24.796,25.16,25.349,2.562,2.511,2.491,422.0,0.0
104.0,23.816,24.754,25.117,25.312,2.565,2.514,2.494,419.0,0.0
106.0,23.752,24.711,25.096,25.276,2.569,2.516,2.495,419.0,0.0
108.0,23.688,24.668,25.053,25.239,2.572,2.518,2.497,415.0,0.0
110.0,23.625,24.626,25.1,25.202,2.576,2.521,2.495,415.0,0.0
112.0,23.561,24.65,24.989,25.171,2.579,2.519,2.501,415.0,0.0
114.0,23.476,24.497,24.946,25.129,2.584,2.528,2.503,412.0,0.0
116.0,23.522,24.455,24.903,25.088,2.581,2.53,2.505,412.0,0.0
118.0,23.458,24.412,24.861,25.048,2.585,2.532,2.508,412.0,0.0
120.0,23.196,24.348,24.886,25.005,2.599,2.536,2.506,409.0,0.0
122.0,23.221,24.306,24.775,24.963,2.598,2.538,2.512,409.0,0.0
124.0,23.158,24.263,24.821,24.922,2.601,2.54,2.51,409.0,0.0
126.0,23.182,24.22,24.779,24.881,2.6,2.543,2.512,405.0,0.0
