temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,22.84,23.306,23.713,23.379,2.619,2.593,2.571,980.0,0.0
4.0,22.67,23.373,23.603,23.379,2.628,2.59,2.577,980.0,0.0
6.0,22.818,23.285,23.582,23.371,2.62,2.594,2.578,980.0,0.0
8.0,22.967,23.264,23.649,23.362,2.612,2.596,2.574,980.0,0.0
10.0,23.094,23.242,23.628,23.352,2.605,2.597,2.575,980.0,0.0
12.0,23.179,23.221,23.54,23.341,2.6,2.598,2.58,980.0,0.0
14.0,23.242,23.331,23.518,23.341,2.597,2.592,2.582,980.0,0.0
16.0,23.394,23.242,23.497,23.333,2.588,2.597,2.583,980.0,0.0
18.0,23.458,23.242,23.476,23.326,2.585,2.597,2.584,980.0,0.0
20.0,23.412,23.264,23.455,23.322,2.587,2.596,2.585,290.0,0.0
22.0,23.54,23.412,23.54,23.33,2.58,2.587,2.58,290.0,0.0
24.0,23.097,23.327,23.497,23.33,2.605,2.592,2.583,290.0,0.0
26.0,22.293,23.373,23.543,23.335,2.649,2.59,2.58,290.0,0.0
28.0,21.575,23.331,23.564,23.335,2.689,2.592,2.579,290.0,0.0
30.0,20.918,23.2,23.476,23.324,2.726,2.599,2.584,290.0,0.0
32.0,20.497,23.182,23.564,23.313,2.749,2.6,2.579,290.0,0.0
34.0,20.055,23.076,23.476,23.294,2.774,2.606,2.584,290.0,0.0
36.0,19.697,22.949,23.522,23.266,2.794,2.613,2.581,290.0,0.0
38.0,19.448,22.734,23.391,23.222,2.808,2.625,2.589,293.0,0.0
40.0,19.045,22.586,23.37,23.17,2.83,2.633,2.59,324.0,0.0
42.0,18.747,22.413,23.391,23.108,2.847,2.643,2.589,362.0,0.0
44.0,18.6,22.219,23.324,23.036,2.855,2.653,2.592,404.0,0.0
46.0,18.428,22.156,23.235,22.966,2.865,2.657,2.597,412.0,0.0
48.0,18.302,22.029,23.172,22.891,2.872,2.664,2.601,437.0,0.0
50.0,18.172,21.923,23.15,22.815,2.879,2.67,2.602,457.0,0.0
52.0,18.13,21.772,23.02,22.733,2.881,2.678,2.609,488.0,0.0
54.0,18.043,21.6,22.889,22.645,2.886,2.688,2.616,525.0,0.0
56.0,17.976,21.449,22.758,22.553,2.89,2.696,2.624,556.0,0.0
58.0,18.106,21.385,22.695,22.464,2.883,2.7,2.627,564.0,0.0
60.0,18.018,21.301,22.653,22.376,2.888,2.705,2.629,578.0,0.0
62.0,18.06,21.196,22.568,22.289,2.885,2.71,2.634,597.0,0.0
64.0,18.015,21.066,22.505,22.198,2.888,2.718,2.638,623.0,0.0
66.0,17.99,21.045,22.353,22.115,2.889,2.719,2.646,621.0,0.0
68.0,18.032,20.96,22.268,22.032,2.887,2.723,2.651,636.0,0.0
70.0,18.183,20.83,22.096,21.947,2.878,2.731,2.66,663.0,0.0
72.0,18.179,20.7,22.054,21.859,2.879,2.738,2.663,689.0,0.0
74.0,18.264,20.788,21.923,21.787,2.874,2.733,2.67,659.0,0.0
76.0,18.306,20.683,21.818,21.713,2.871,2.739,2.676,680.0,0.0
78.0,18.432,20.662,21.797,21.644,2.864,2.74,2.677,680.0,0.0
80.0,18.386,20.62,21.821,21.579,2.867,2.742,2.676,685.0,0.0
