temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
2.0,980.0,22.466,22.843,23.013,22.832,0.0
4.0,980.0,22.23,22.801,23.013,22.829,0.0
6.0,980.0,22.357,22.78,23.013,22.825,0.0
8.0,980.0,22.505,22.847,23.013,22.827,0.0
10.0,980.0,22.631,22.758,23.08,22.821,0.0
12.0,980.0,22.716,22.758,22.991,22.816,0.0
14.0,980.0,22.78,22.737,22.97,22.809,0.0
16.0,980.0,22.843,22.758,22.949,22.805,0.0
18.0,980.0,22.974,22.847,22.949,22.809,0.0
20.0,980.0,22.949,22.868,22.949,22.814,0.0
22.0,980.0,22.991,22.889,22.949,22.821,0.0
24.0,980.0,23.034,22.801,23.037,22.819,0.0
26.0,980.0,23.055,22.822,23.037,22.82,0.0
28.0,980.0,23.097,22.822,23.037,22.82,0.0
30.0,980.0,23.119,22.843,22.949,22.822,0.0
32.0,980.0,23.14,22.864,23.059,22.826,0.0
34.0,980.0,23.161,22.886,22.949,22.831,0.0
36.0,980.0,23.182,22.886,22.949,23.174,0.0
38.0,980.0,23.203,22.995,23.059,23.159,0.0
40.0,980.0,23.225,22.995,23.059,23.145,0.0
42.0,1670.0,23.158,22.928,22.97,23.128,0.0
44.0,1670.0,23.409,23.069,23.023,23.124,0.0
46.0,1670.0,24.217,23.09,23.044,23.122,0.0
48.0,1670.0,25.432,23.066,23.066,23.118,0.0
50.0,1670.0,26.616,23.172,23.087,23.123,0.0
52.0,1670.0,27.571,23.32,23.108,23.141,0.0
54.0,1670.0,28.333,23.511,23.15,23.173,0.0
56.0,1670.0,29.103,23.745,23.083,23.222,0.0
58.0,1670.0,29.838,24.0,23.147,23.288,0.0
60.0,1665.0,30.441,24.256,23.299,23.369,0.0
62.0,1602.0,30.886,24.533,23.295,23.466,0.0
64.0,1552.0,31.45,24.764,23.444,23.573,0.0
66.0,1502.0,31.809,24.996,23.504,23.689,0.0
68.0,1453.0,31.965,25.228,23.607,23.814,0.0
70.0,1385.0,32.075,25.528,23.777,23.952,0.0
72.0,1331.0,32.071,25.783,23.99,24.099,0.0
74.0,1293.0,32.048,25.973,24.004,24.247,0.0
76.0,1266.0,31.912,26.12,24.128,24.393,0.0
78.0,1220.0,31.775,26.336,24.387,24.543,0.0
80.0,1175.0,31.499,26.552,24.423,24.697,0.0
82.0,1141.0,31.201,26.725,24.636,24.851,0.0
84.0,1130.0,30.976,26.808,24.807,24.997,0.0
86.0,1141.0,30.684,26.804,24.978,25.128,0.0
88.0,1110.0,30.392,26.959,25.128,25.26,0.0
90.0,1120.0,30.12,26.956,25.278,25.379,0.0
92.0,1116.0,29.853,26.999,25.317,25.489,0.0
94.0,1118.0,29.746,27.021,25.446,25.591,0.0
96.0,1102.0,29.568,27.111,25.575,25.691,0.0
98.0,1097.0,29.343,27.155,25.793,25.784,0.0
100.0,1098.0,29.21,27.176,25.879,25.87,0.0
102.0,1127.0,29.077,27.086,25.876,25.941,0.0
104.0,1138.0,28.945,27.064,26.03,26.002,0.0
106.0,1148.0,28.949,27.042,26.073,26.056,0.0
108.0,1134.0,28.882,27.111,26.138,26.11,0.0
110.0,1150.0,28.905,27.064,26.224,26.155,0.0
112.0,1130.0,28.86,27.155,26.267,26.203,0.0
114.0,1152.0,28.905,27.086,26.242,26.241,0.0
116.0,1137.0,28.838,27.155,26.353,26.281,0.0
118.0,1140.0,28.747,27.155,26.418,26.317,0.0
120.0,1143.0,28.816,27.155,26.461,26.35,0.0
122.0,1169.0,28.725,27.064,26.483,26.371,0.0
124.0,1153.0,28.772,27.133,26.505,26.397,0.0
126.0,1149.0,28.816,27.155,26.548,26.421,0.0
128.0,1151.0,28.816,27.155,26.548,26.444,0.0
130.0,1148.0,28.816,27.176,26.591,26.466,0.0
132.0,1150.0,28.838,27.176,26.613,26.486,0.0
134.0,1146.0,28.725,27.198,26.725,26.506,0.0
136.0,1136.0,28.816,27.241,26.634,26.527,0.0
138.0,1132.0,28.816,27.263,26.634,26.548,0.0
140.0,1134.0,28.838,27.263,26.678,26.568,0.0
142.0,1130.0,28.816,27.285,26.588,26.587,0.0
144.0,1126.0,28.794,27.307,26.609,26.606,0.0
146.0,1122.0,28.886,27.328,26.699,26.625,0.0
148.0,1141.0,28.681,27.26,26.721,26.637,0.0
150.0,1124.0,28.637,27.328,26.699,26.653,0.0
152.0,1138.0,28.637,27.281,26.743,26.663,0.0
154.0,1139.0,28.728,27.281,26.743,26.673,0.0
156.0,1145.0,28.728,27.26,26.786,26.68,0.0
158.0,1128.0,28.728,27.328,26.786,26.692,0.0
160.0,1129.0,28.772,27.328,26.717,26.703,0.0
162.0,1130.0,28.794,27.328,26.739,26.712,0.0
164.0,1126.0,28.681,27.35,26.829,26.723,0.0
166.0,1121.0,28.681,27.372,26.829,26.734,0.0
168.0,1145.0,28.681,27.281,26.851,26.737,0.0
170.0,1122.0,28.728,27.372,26.829,26.747,0.0
172.0,1118.0,28.659,27.394,26.851,26.758,0.0
174.0,1113.0,28.659,27.415,26.761,26.77,0.0
176.0,1132.0,28.637,27.346,26.873,26.775,0.0
178.0,1114.0,28.684,27.415,26.873,26.785,0.0
180.0,1115.0,28.593,27.415,26.894,26.794,0.0
182.0,1116.0,28.593,27.415,26.894,26.802,0.0
184.0,1135.0,28.593,27.346,26.916,26.804,0.0
186.0,1123.0,28.549,27.394,26.894,26.809,0.0
188.0,1136.0,28.662,27.346,26.826,26.81,0.0
190.0,1118.0,28.64,27.415,26.826,26.817,1.0
192.0,1136.0,28.684,27.346,26.847,26.817,1.0
