temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
2.0,980.0,22.55,22.762,22.843,22.743,0.0
4.0,980.0,22.251,22.741,22.843,22.743,0.0
6.0,980.0,22.335,22.72,22.931,22.741,0.0
8.0,980.0,22.55,22.699,22.91,22.737,0.0
10.0,980.0,22.547,22.699,22.91,22.734,0.0
12.0,980.0,22.699,22.699,22.91,22.731,0.0
14.0,980.0,22.674,22.61,22.889,22.721,0.0
16.0,980.0,22.804,22.72,22.78,22.721,0.0
18.0,980.0,22.847,22.72,22.889,22.721,0.0
20.0,980.0,22.868,22.72,22.889,22.721,0.0
22.0,980.0,22.822,22.72,22.868,22.721,0.0
24.0,980.0,22.843,22.741,22.868,22.723,0.0
26.0,980.0,22.886,22.741,22.847,22.725,0.0
28.0,980.0,22.995,22.762,22.847,22.728,0.0
30.0,980.0,23.016,22.741,22.847,22.729,0.0
32.0,980.0,23.037,22.783,22.847,22.971,0.0
34.0,980.0,23.126,22.783,22.758,22.956,0.0
36.0,980.0,22.97,22.783,22.868,22.942,0.0
38.0,980.0,23.08,22.804,22.868,22.931,0.0
40.0,980.0,23.101,22.804,22.847,22.921,0.0
42.0,980.0,23.034,22.826,22.868,22.914,0.0
44.0,980.0,23.034,22.826,22.868,22.907,0.0
46.0,980.0,23.143,22.758,22.78,22.896,0.0
48.0,980.0,23.143,22.758,22.801,22.885,0.0
50.0,980.0,23.253,22.847,22.801,22.884,0.0
52.0,980.0,23.165,22.868,22.801,22.884,0.0
54.0,980.0,23.076,22.977,22.889,22.893,0.0
56.0,980.0,23.076,22.801,22.91,22.887,0.0
58.0,980.0,23.207,22.889,22.999,22.888,0.0
60.0,980.0,23.207,22.889,22.801,22.89,0.0
62.0,1670.0,23.228,22.91,22.91,22.893,0.0
64.0,1670.0,23.299,23.006,22.939,22.904,0.0
66.0,1670.0,24.039,22.956,22.977,22.909,0.0
68.0,1670.0,25.317,23.041,22.999,22.922,0.0
70.0,1670.0,26.501,23.126,23.02,22.94,0.0
72.0,1670.0,27.499,23.207,23.041,22.963,0.0
74.0,1670.0,28.351,23.377,23.083,22.999,0.0
76.0,1670.0,29.169,23.61,23.105,23.051,0.0
78.0,1670.0,29.742,23.933,23.126,23.125,0.0
80.0,1670.0,30.415,24.167,23.122,23.212,0.0
82.0,1670.0,30.976,24.444,23.274,23.314,0.0
84.0,1670.0,31.378,24.722,23.38,23.43,0.0
86.0,1670.0,31.855,24.932,23.398,23.552,0.0
88.0,1670.0,32.334,25.21,23.614,23.686,0.0
90.0,1670.0,32.747,25.51,23.674,23.833,0.0
92.0,1670.0,33.139,25.79,23.802,23.989,0.0
94.0,1670.0,33.533,26.048,23.972,24.152,0.0
96.0,1670.0,33.882,26.328,24.142,24.322,0.0
98.0,1670.0,34.21,26.609,24.313,24.5,0.0
100.0,1670.0,34.539,26.869,24.483,24.683,0.0
102.0,1670.0,34.822,27.151,24.675,24.872,0.0
104.0,1630.0,35.154,27.412,24.868,25.065,0.0
106.0,1588.0,35.411,27.648,25.035,25.259,0.0
108.0,1545.0,35.698,27.884,25.203,25.454,0.0
110.0,1507.0,35.69,28.099,25.392,25.648,0.0
112.0,1451.0,35.81,28.384,25.539,25.848,0.0
114.0,1413.0,35.758,28.6,25.84,26.047,0.0
116.0,1380.0,35.535,28.794,26.008,26.242,0.0
118.0,1352.0,35.392,28.967,26.177,26.434,0.0
120.0,1340.0,35.225,29.074,26.436,26.616,0.0
122.0,1310.0,34.936,29.25,26.541,26.795,0.0
124.0,1303.0,34.771,29.335,26.779,26.964,0.0
126.0,1259.0,34.656,29.561,26.862,27.135,0.0
128.0,1257.0,34.319,29.623,27.122,27.295,0.0
130.0,1247.0,34.131,29.712,27.296,27.448,0.0
132.0,1242.0,33.8,29.779,27.47,27.591,0.0
134.0,1237.0,33.591,29.846,27.622,27.725,0.0
136.0,1236.0,33.405,29.89,27.753,27.851,0.0
138.0,1265.0,33.289,29.82,27.793,27.958,0.0
140.0,1238.0,33.366,29.961,27.972,28.067,0.0
142.0,1278.0,33.224,29.842,28.012,28.155,0.0
144.0,1255.0,33.181,29.961,28.147,28.244,0.0
146.0,1269.0,33.108,29.935,28.256,28.323,0.0
148.0,1282.0,33.016,29.912,28.413,28.392,0.0
150.0,1283.0,32.993,29.935,28.479,28.456,0.0
152.0,1283.0,32.923,29.957,28.523,28.516,0.0
154.0,1277.0,32.923,30.002,28.497,28.574,0.0
156.0,1277.0,32.946,30.024,28.585,28.628,0.0
158.0,1276.0,32.923,30.046,28.629,28.679,0.0
160.0,1276.0,32.9,30.068,28.695,28.727,0.0
162.0,1275.0,32.9,30.091,28.739,28.772,0.0
164.0,1243.0,32.9,30.228,28.783,28.824,0.0
166.0,1279.0,32.827,30.109,28.871,28.861,0.0
168.0,1270.0,32.854,30.158,28.941,28.898,0.0
170.0,1263.0,32.854,30.202,28.916,28.936,0.0
172.0,1255.0,32.854,30.247,28.96,28.974,0.0
174.0,1247.0,32.831,30.292,29.004,29.012,0.0
176.0,1239.0,32.831,30.336,28.956,29.05,0.0
178.0,1243.0,32.712,30.336,29.092,29.084,0.0
180.0,1240.0,32.666,30.359,29.114,29.117,0.0
182.0,1268.0,32.62,30.266,29.158,29.139,0.0
184.0,1252.0,32.67,30.336,29.136,29.165,0.0
186.0,1267.0,32.67,30.288,29.18,29.184,0.0
188.0,1245.0,32.67,30.381,29.18,29.209,0.0
190.0,1236.0,32.716,30.426,29.155,29.235,0.0
192.0,1233.0,32.762,30.448,29.199,29.261,0.0
194.0,1254.0,32.62,30.377,29.221,29.278,0.0
196.0,1244.0,32.647,30.426,29.291,29.298,0.0
198.0,1240.0,32.67,30.448,29.313,29.318,0.0
200.0,1267.0,32.693,30.355,29.313,29.327,0.0
202.0,1256.0,32.647,30.404,29.291,29.34,0.0
204.0,1252.0,32.693,30.426,29.335,29.354,0.0
206.0,1254.0,32.693,30.426,29.265,29.366,0.0
208.0,1255.0,32.739,30.426,29.357,29.378,0.0
210.0,1263.0,32.62,30.404,29.357,29.386,0.0
212.0,1258.0,32.716,30.426,29.357,29.395,0.0
