temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,22.737,22.462,21.937,22.449,2.625,2.64,2.669,980.0,0.0
4.0,22.593,22.508,21.934,22.454,2.633,2.637,2.669,980.0,0.0
6.0,22.656,22.466,21.976,22.455,2.629,2.64,2.667,980.0,0.0
8.0,22.653,22.445,22.128,22.454,2.629,2.641,2.659,980.0,0.0
10.0,22.783,22.357,22.191,22.445,2.622,2.646,2.655,980.0,0.0
12.0,22.737,22.423,22.233,22.444,2.625,2.642,2.653,980.0,0.0
14.0,22.78,22.357,22.187,22.436,2.622,2.646,2.655,980.0,0.0
16.0,22.889,22.445,22.23,22.437,2.616,2.641,2.653,980.0,0.0
18.0,22.889,22.378,22.251,22.432,2.616,2.645,2.652,980.0,0.0
20.0,22.91,22.466,22.381,22.435,2.615,2.64,2.644,980.0,0.0
22.0,22.843,22.466,22.402,22.438,2.619,2.64,2.643,980.0,0.0
24.0,22.864,22.466,22.423,22.44,2.618,2.64,2.642,980.0,0.0
26.0,22.864,22.487,22.445,22.444,2.618,2.639,2.641,980.0,0.0
28.0,22.886,22.42,22.445,22.442,2.617,2.642,2.641,980.0,0.0
30.0,22.974,22.441,22.487,22.442,2.612,2.641,2.639,980.0,0.0
32.0,22.995,22.529,22.399,22.45,2.61,2.636,2.644,980.0,0.0
34.0,22.995,22.55,22.42,22.458,2.61,2.635,2.642,980.0,0.0
36.0,23.016,22.572,22.441,22.468,2.609,2.634,2.641,980.0,0.0
38.0,22.995,22.572,22.55,22.476,2.61,2.634,2.635,980.0,0.0
40.0,23.037,22.593,22.55,22.486,2.608,2.633,2.635,980.0,0.0
42.0,22.949,22.593,22.572,22.495,2.613,2.633,2.634,980.0,0.0
44.0,22.949,22.547,22.593,22.498,2.613,2.635,2.633,980.0,0.0
46.0,23.037,22.547,22.526,23.007,2.608,2.635,2.636,980.0,0.0
48.0,23.059,22.656,22.547,22.978,2.607,2.629,2.635,980.0,0.0
50.0,23.059,22.568,22.547,22.943,2.607,2.634,2.635,980.0,0.0
52.0,23.08,22.677,22.568,22.921,2.606,2.628,2.634,980.0,0.0
54.0,22.991,22.677,22.589,22.901,2.611,2.628,2.633,980.0,0.0
56.0,22.991,22.72,22.677,22.887,2.611,2.626,2.628,980.0,0.0
58.0,23.034,22.72,22.699,22.874,2.608,2.626,2.627,980.0,0.0
60.0,23.122,22.631,22.61,22.855,2.603,2.631,2.632,980.0,0.0
