temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
2.0,980.0,25.185,24.989,25.078,25.061,0.0
4.0,980.0,24.839,24.989,24.989,25.055,0.0
6.0,980.0,24.993,25.078,25.1,25.057,0.0
8.0,980.0,24.968,25.057,25.078,25.057,0.0
10.0,980.0,25.032,24.968,25.1,25.05,0.0
12.0,980.0,25.075,24.946,25.01,25.041,0.0
14.0,980.0,25.185,24.946,24.989,25.033,0.0
16.0,980.0,25.117,24.946,25.1,25.026,0.0
18.0,980.0,25.249,24.946,24.989,25.02,0.0
20.0,980.0,25.16,24.968,25.01,25.016,0.0
22.0,980.0,25.292,25.057,25.121,25.02,0.0
24.0,980.0,25.292,25.057,25.1,25.024,0.0
26.0,980.0,25.246,24.968,25.1,25.02,0.0
28.0,980.0,25.335,25.078,25.1,25.025,0.0
30.0,980.0,25.335,25.01,25.032,25.024,0.0
32.0,980.0,25.267,24.989,25.121,25.022,0.0
34.0,980.0,25.357,25.1,25.01,25.029,0.0
36.0,980.0,25.267,25.1,25.01,25.036,0.0
38.0,980.0,25.289,25.121,25.053,25.043,0.0
40.0,980.0,25.378,25.1,25.121,25.048,0.0
42.0,980.0,25.31,25.032,25.142,25.047,0.0
44.0,980.0,25.31,25.032,25.142,25.046,0.0
46.0,980.0,25.31,25.053,25.053,25.047,0.0
48.0,980.0,25.4,25.142,25.053,25.055,0.0
50.0,980.0,25.421,25.053,25.075,25.055,0.0
52.0,980.0,25.4,25.142,25.164,25.063,0.0
54.0,980.0,25.421,25.142,25.075,25.07,0.0
56.0,980.0,25.332,25.053,25.164,25.068,0.0
58.0,980.0,25.421,25.164,25.185,25.076,0.0
60.0,980.0,25.332,25.075,25.185,25.076,0.0
62.0,980.0,25.353,25.075,25.096,25.076,0.0
64.0,980.0,25.442,25.075,25.096,25.076,0.0
66.0,980.0,25.485,25.185,25.096,25.085,0.0
68.0,980.0,25.417,25.207,25.228,25.095,0.0
70.0,980.0,25.507,25.207,25.139,25.104,0.0
72.0,980.0,25.439,25.207,25.228,25.112,0.0
74.0,980.0,25.46,25.139,25.228,25.114,0.0
76.0,980.0,25.55,25.16,25.139,25.117,0.0
78.0,980.0,25.571,25.16,25.139,25.12,0.0
80.0,980.0,25.55,25.182,25.249,25.125,0.0
82.0,980.0,25.482,25.182,25.16,25.129,0.0
84.0,980.0,25.482,25.249,25.16,25.139,0.0
86.0,980.0,25.482,25.182,25.16,25.141,0.0
88.0,1670.0,25.482,25.182,25.271,25.144,0.0
90.0,1666.0,25.578,25.278,25.299,25.154,0.0
92.0,1661.0,26.35,25.317,25.274,25.167,0.0
94.0,1648.0,27.742,25.385,25.299,25.184,0.0
96.0,1631.0,28.882,25.471,25.253,25.207,0.0
98.0,1598.0,29.809,25.621,25.274,25.241,0.0
100.0,1583.0,30.542,25.7,25.382,25.278,0.0
102.0,1522.0,31.168,25.958,25.357,25.333,0.0
104.0,1486.0,31.779,26.123,25.417,25.397,0.0
106.0,1414.0,32.14,26.425,25.478,25.48,0.0
108.0,1379.0,32.361,26.591,25.493,25.569,0.0
110.0,1332.0,32.567,26.804,25.532,25.668,0.0
112.0,1261.0,32.513,27.108,25.636,25.783,0.0
114.0,1227.0,32.533,27.274,25.783,25.901,0.0
116.0,1197.0,32.414,27.423,25.865,26.02,0.0
118.0,1167.0,32.159,27.571,26.059,26.14,0.0
120.0,1119.0,31.999,27.789,26.141,26.267,0.0
122.0,1100.0,31.745,27.895,26.289,26.39,0.0
124.0,1098.0,31.495,27.935,26.35,26.505,0.0
126.0,1077.0,31.269,28.044,26.458,26.618,0.0
128.0,1068.0,31.089,28.11,26.519,26.726,0.0
130.0,1058.0,30.792,28.176,26.761,26.829,0.0
132.0,1053.0,30.542,28.22,26.891,26.925,0.0
134.0,1048.0,30.34,28.263,26.999,27.016,0.0
136.0,1042.0,30.184,28.307,27.108,27.101,0.0
138.0,1060.0,29.983,28.26,27.194,27.175,0.0
140.0,1052.0,29.875,28.307,27.238,27.245,0.0
142.0,1051.0,29.764,28.329,27.234,27.31,0.0
144.0,1055.0,29.653,28.329,27.39,27.369,0.0
146.0,1065.0,29.542,28.307,27.343,27.42,0.0
148.0,1074.0,29.476,28.285,27.455,27.464,0.0
150.0,1088.0,29.273,28.242,27.477,27.501,0.0
152.0,1096.0,29.321,28.22,27.568,27.532,0.0
154.0,1110.0,29.368,28.176,27.59,27.556,0.0
156.0,1117.0,29.324,28.154,27.521,27.576,0.0
158.0,1125.0,29.346,28.132,27.542,27.592,0.0
160.0,1108.0,29.368,28.201,27.655,27.612,0.0
162.0,1104.0,29.435,28.223,27.72,27.633,0.0
164.0,1111.0,29.365,28.201,27.72,27.649,0.0
166.0,1142.0,29.435,28.088,27.699,27.655,0.0
168.0,1130.0,29.413,28.136,27.677,27.663,0.0
170.0,1120.0,29.501,28.179,27.699,27.675,0.0
172.0,1115.0,29.59,28.201,27.742,27.688,0.0
