temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
2.0,25.292,24.946,24.925,24.938,2.484,2.503,2.504,980.0,0.0
4.0,24.882,25.035,25.014,24.947,2.506,2.498,2.499,980.0,0.0
6.0,24.903,24.925,24.925,24.945,2.505,2.504,2.504,980.0,0.0
8.0,24.946,24.903,24.925,24.941,2.503,2.505,2.504,980.0,0.0
10.0,24.989,24.903,24.993,24.938,2.501,2.505,2.5,980.0,0.0
12.0,24.989,24.882,24.925,24.933,2.501,2.506,2.504,290.0,0.0
14.0,25.05,24.943,24.896,24.934,2.497,2.503,2.506,290.0,0.0
16.0,24.583,24.968,24.943,24.937,2.523,2.502,2.503,290.0,0.0
18.0,23.663,24.857,25.01,24.93,2.574,2.508,2.499,290.0,0.0
20.0,22.942,24.882,25.01,24.926,2.613,2.506,2.499,290.0,0.0
22.0,22.395,24.796,24.968,24.915,2.644,2.511,2.502,290.0,0.0
24.0,21.8,24.579,24.878,24.887,2.677,2.523,2.507,334.0,0.0
26.0,21.463,24.426,24.943,24.848,2.696,2.531,2.503,368.0,0.0
28.0,21.059,24.341,24.786,24.806,2.718,2.536,2.512,383.0,0.0
30.0,20.764,24.302,24.896,24.765,2.734,2.538,2.506,387.0,0.0
32.0,20.423,24.064,24.832,24.708,2.753,2.551,2.509,443.0,0.0
34.0,20.188,23.89,24.675,24.641,2.766,2.561,2.518,481.0,0.0
36.0,20.016,23.717,24.654,24.566,2.776,2.571,2.519,519.0,0.0
38.0,19.974,23.522,24.586,24.482,2.778,2.581,2.523,562.0,0.0
40.0,19.887,23.37,24.476,24.393,2.783,2.59,2.529,594.0,0.0
42.0,19.908,23.264,24.345,24.304,2.782,2.596,2.536,613.0,0.0
44.0,19.929,23.158,24.192,24.214,2.781,2.601,2.544,633.0,0.0
46.0,19.862,22.963,24.217,24.117,2.785,2.612,2.543,676.0,0.0
48.0,19.796,22.811,24.085,24.016,2.788,2.621,2.55,707.0,0.0
50.0,19.813,22.769,24.022,23.922,2.787,2.623,2.554,711.0,0.0
52.0,19.897,22.596,23.936,23.821,2.783,2.633,2.558,748.0,0.0
54.0,20.118,22.582,23.791,23.73,2.77,2.633,2.566,744.0,0.0
56.0,20.157,22.452,23.748,23.636,2.768,2.641,2.569,771.0,0.0
58.0,20.283,22.473,23.639,23.554,2.761,2.639,2.575,759.0,0.0
60.0,20.346,22.497,23.554,23.481,2.758,2.638,2.58,746.0,0.0
62.0,20.343,22.413,23.426,23.408,2.758,2.643,2.587,762.0,0.0
64.0,20.427,22.283,23.384,23.331,2.753,2.65,2.589,790.0,0.0
66.0,20.423,22.237,23.363,23.258,2.753,2.653,2.59,797.0,0.0
68.0,20.507,22.216,23.211,23.191,2.749,2.654,2.599,797.0,0.0
70.0,20.571,22.085,23.189,23.118,2.745,2.661,2.6,825.0,0.0
72.0,20.676,22.149,23.013,23.058,2.739,2.657,2.61,804.0,0.0
74.0,20.697,22.106,23.016,23.001,2.738,2.66,2.609,810.0,0.0
76.0,20.672,22.261,22.953,22.962,2.74,2.651,2.613,766.0,0.0
78.0,20.739,22.177,23.002,22.92,2.736,2.656,2.61,784.0,0.0
80.0,20.89,22.11,22.893,22.876,2.727,2.66,2.616,798.0,0.0
82.0,20.715,22.022,22.871,22.829,2.737,2.664,2.617,818.0,0.0
84.0,20.757,22.043,22.85,22.788,2.735,2.663,2.618,809.0,0.0
86.0,20.778,22.001,22.808,22.748,2.734,2.666,2.621,817.0,0.0
88.0,20.908,22.001,22.677,22.712,2.726,2.666,2.628,813.0,0.0
90.0,21.038,22.068,22.614,22.684,2.719,2.662,2.632,793.0,0.0
92.0,20.929,21.983,22.639,22.653,2.725,2.667,2.63,813.0,0.0
94.0,20.841,21.983,22.639,22.624,2.73,2.667,2.63,810.0,0.0
96.0,20.929,21.983,22.596,22.598,2.725,2.667,2.633,808.0,0.0
98.0,20.862,21.983,22.554,22.575,2.729,2.667,2.635,806.0,0.0
100.0,20.862,21.874,22.533,22.545,2.729,2.673,2.636,832.0,0.0
102.0,20.925,21.807,22.487,22.512,2.725,2.676,2.639,847.0,0.0
104.0,21.055,21.895,22.42,22.489,2.718,2.671,2.642,822.0,0.0
106.0,20.967,21.941,22.445,22.473,2.723,2.669,2.641,808.0,0.0
108.0,21.055,21.856,22.381,22.451,2.718,2.674,2.644,829.0,0.0
110.0,21.009,21.832,22.49,22.43,2.721,2.675,2.638,833.0,0.0
112.0,21.009,21.832,22.381,22.41,2.721,2.675,2.644,832.0,0.0
114.0,21.031,21.92,22.469,22.4,2.72,2.67,2.64,807.0,0.0
