temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE,STABILITE
4.0,24.139,24.394,24.48,24.396,2.547,2.533,2.529,980.0,0.0
6.0,24.16,24.373,24.458,24.394,2.546,2.534,2.53,980.0,0.0
8.0,24.203,24.352,24.458,24.391,2.544,2.536,2.53,980.0,0.0
10.0,24.266,24.352,24.526,24.387,2.54,2.536,2.526,980.0,0.0
12.0,24.355,24.33,24.526,24.383,2.535,2.537,2.526,980.0,0.0
14.0,24.288,24.398,24.416,24.384,2.539,2.533,2.532,980.0,0.0
16.0,24.309,24.309,24.394,24.378,2.538,2.538,2.533,980.0,0.0
18.0,24.309,24.288,24.394,24.37,2.538,2.539,2.533,980.0,0.0
20.0,24.288,24.355,24.352,24.37,2.539,2.535,2.536,980.0,0.0
22.0,24.309,24.288,24.373,24.363,2.538,2.539,2.534,980.0,0.0
24.0,24.33,24.266,24.33,24.355,2.537,2.54,2.537,980.0,0.0
26.0,24.419,24.291,24.334,24.35,2.532,2.539,2.537,842.0,0.0
28.0,24.313,24.249,24.245,24.342,2.538,2.541,2.541,842.0,0.0
30.0,24.206,24.27,24.291,24.337,2.544,2.54,2.539,842.0,0.0
32.0,24.032,24.227,24.313,24.328,2.553,2.542,2.538,842.0,0.0
34.0,23.947,24.227,24.401,24.32,2.558,2.542,2.533,842.0,0.0
36.0,23.972,24.206,24.27,24.312,2.557,2.544,2.54,842.0,0.0
38.0,23.908,24.185,24.291,24.302,2.56,2.545,2.539,842.0,0.0
40.0,23.823,24.075,24.291,24.284,2.565,2.551,2.539,842.0,0.0
42.0,23.759,24.163,24.27,24.275,2.568,2.546,2.54,842.0,0.0
44.0,23.717,24.21,24.291,24.271,2.571,2.543,2.539,842.0,0.0
46.0,23.674,24.1,24.27,24.258,2.573,2.549,2.54,842.0,0.0
48.0,23.564,24.057,24.27,24.243,2.579,2.552,2.54,842.0,0.0
50.0,23.543,24.036,24.227,24.227,2.58,2.553,2.542,842.0,0.0
